,Word,Definition
290,python,1. large Old World boas    2. (Greek mythology) dragon killed by Apollo at Delphi    3. a soothsaying spirit or a person who is possessed by such a spirit
291,notebook,1. a small compact portable computer    2. a book with blank pages for recording notes or memoranda
292,gear,1. a toothed wheel that engages another toothed mechanism in order to change the speed or direction of transmitted motion    2. equipment consisting of miscellaneous articles needed for a particular operation or sport etc.    3. a mechanism for transmitting motion for some specific purpose (as the steering gear of a vehicle)
293,information age,1. a period beginning in the last quarter of the 20th century when information became easily accessible through publications and through the manipulation of information by computers and computer networks
294,central processing unit,1. (computer science) the part of a computer (a microprocessor chip) that does most of the data processing
295,ipod,1. (trademark) a pocket-sized device used to play music files
296,estimator,1. an expert at calculation (or at operating calculating machines)
297,phone,1. electro-acoustic transducer for converting electric signals into sounds; it is held over or inserted into the ear    2. electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds    3. (phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
298,desktop,1. (computer science) the area of the screen in graphical user interfaces against which icons and windows appear    2. the top of a desk
299,mit,1. an engineering university in Cambridge
300,computer storage,1. an electronic memory device
301,predictor,1. a computer for controlling antiaircraft fire that computes the position of an aircraft at the instant of a shell's arrival    2. information that supports a probabilistic estimate of future events    3. someone who makes predictions of the future (usually on the basis of special knowledge)
302,pointer,1. a strong slender smooth-haired dog of Spanish origin having a white coat with brown or black patches; scents out and points to game    2. (computer science) indicator consisting of a movable spot of light (an icon) on a visual display; moving it allows the user to point to commands or screen positions    3. an indicator as on a dial
303,compiler,1. (computer science) a program that decodes instructions written in a higher order language and produces an assembly language program    2. a person who compiles information (as for reference purposes)
304,laptop,1. a portable computer small enough to use in your lap
305,sabre,1. a stout sword with a curved blade and thick back    2. a fencing sword with a v-shaped blade and a slightly curved handle    3. kill with a saber
306,hard drive,1. computer hardware that holds and spins a magnetic or optical disk and reads and writes information on it
307,graphics,1. the drawings and photographs in the layout of a book    2. photographs or other visual representations in a printed publication
308,zodiac,1. (astrology) a circular diagram representing the 12 zodiacal constellations and showing their signs    2. a belt-shaped region in the heavens on either side to the ecliptic; divided into 12 constellations or signs for astrological purposes
309,isfahan,1. city in central Iran; former capital of Persia
310,printout,1. the output of a computer in printed form
311,search,1. an investigation seeking answers    2. boarding and inspecting a ship on the high seas    3. the activity of looking thoroughly in order to find something or someone
312,alan turing,1. English mathematician who conceived of the Turing machine and broke German codes during World War II (1912-1954)
313,data formatting,1. the organization of information according to preset specifications (usually for computer processing)
314,car,1. a conveyance for passengers or freight on a cable railway    2. a motor vehicle with four wheels; usually propelled by an internal combustion engine    3. a wheeled vehicle adapted to the rails of railroad
315,application,1. the action of putting something into operation    2. a diligent effort    3. the work of applying something
316,module,1. a self-contained component (unit or item) that is used in combination with other components    2. computer circuit consisting of an assembly of electronic components (as of computer hardware)    3. detachable compartment of a spacecraft
317,storage,1. depositing in a warehouse    2. the act of storing something    3. the commercial enterprise of storing goods and materials
318,totalizator,1. computer that registers bets and divides the total amount bet among those who won
319,watchmaker,1. someone who makes or repairs watches
320,spreadsheet,1. a screen-oriented interactive program enabling a user to lay out financial data on the screen
321,middle ages,1. the period of history between classical antiquity and the Italian Renaissance
322,alpha test,1. (computer science) a first test of an experimental product (such as computer software) carried out by the developer
323,electronics,1. the branch of physics that deals with the emission and effects of electrons and with the use of electronic devices
324,computation,1. the procedure of calculating; determining something by mathematical or logical methods    2. problem solving that involves numbers or quantities
325,telephone,1. electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds    2. transmitting speech at a distance    3. get or try to get into communication (with someone) by telephone
326,automation,1. the act of implementing the control of equipment with advanced technology; usually involving electronic hardware    2. equipment used to achieve automatic control or operation    3. the condition of being automatically operated or controlled
327,recode,1. put into a different code; rearrange mentally
328,data format,1. the organization of information according to preset specifications (usually for computer processing)
329,information superhighway,1. an extensive electronic network (such as the internet) used for the rapid transfer of sound and video and graphics in digital form
330,client,1. (computer science) any computer that is hooked up to a computer network    2. someone who pays for goods or services    3. a person who seeks the advice of a lawyer
331,user interface,1. (computer science) a program that controls a display for the user (usually on a computer monitor) and that allows the user to interact with the system
332,formatting,1. the organization of information according to preset specifications (usually for computer processing)
333,expansion slot,1. (computer) a socket in a microcomputer that will accept a plug-in circuit board
334,proprietary,1. an unincorporated business owned by a single person who is responsible for its liabilities and entitled to its profits    2. protected by trademark or patent or copyright; made or produced or distributed by one having exclusive rights
335,computer program,1. (computer science) a sequence of instructions that a computer can interpret and execute
336,desktop computer,1. a personal computer small enough to fit conveniently in an individual workspace
337,vannevar bush,1. United States electrical engineer who designed an early analogue computer and who led the scientific program of the United States during World War II (1890-1974)
338,pc,1. a small digital computer based on a microprocessor and designed to be used by one person at a time
339,keyboard,1. holder consisting of an arrangement of hooks on which keys or locks can be hung    2. device consisting of a set of keys on a piano or organ or typewriter or typesetting machine or computer or the like
340,assembler,1. a program to convert assembly language into machine language
341,devices,1. an inclination or desire; used in the plural in the phrase left to your own devices'
342,united states navy,1. the navy of the United States of America; the agency that maintains and trains and equips combat-ready naval forces
343,integrated,1. not segregated; designated as available to all races or groups    2. formed into a whole or introduced into another entity    3. resembling a living organism in organization or development
344,laptop computer,1. a portable computer small enough to use in your lap
345,modem,1. (from a combination of MOdulate and DEModulate) electronic equipment consisting of a device used to connect computers by a telephone line
346,machine translation,1. the use of computers to translate from one language to another
347,herman hollerith,1. United States inventor who invented a system for recording alphanumeric information on punched cards (1860-1929)
348,punched card,1. a card on which data can be recorded in the form of punched holes
349,utility program,1. (computer science) a program designed for general support of the processes of a computer
350,planimeter,1. a measuring instrument for measuring the area of an irregular plane figure
351,cell phone,1. call up by using a cellular phone
352,london,1. the capital and largest city of England; located on the Thames in southeastern England; financial and industrial and cultural center    2. United States writer of novels based on experiences in the Klondike gold rush (1876-1916)
353,celluloid,1. a medium that disseminates moving pictures    2. highly flammable substance made from cellulose nitrate and camphor; used in e.g. motion-picture and X-ray film; its use has decreased with the development of nonflammable thermoplastics    3. artificial as if portrayed in a film
354,interactive,1. used especially of drugs or muscles that work together so the total effect is greater than the sum of the two (or more)    2. capable of acting on or influencing each other
355,teleprocessing,1. data processing in which some of the functions are performed in different places and connected by transmission facilities
356,machine,1. a motor vehicle with four wheels; usually propelled by an internal combustion engine    2. any mechanical or electrical device that transmits or modifies energy to perform or assist in the performance of human tasks    3. a device for overcoming resistance at one point by applying force at some other point
357,network,1. an open fabric of string or rope or wire woven together at regular intervals    2. (broadcasting) a communication system consisting of a group of broadcasting stations that all transmit the same programs    3. (electronics) a system of interconnected electronic components or circuits
358,computer monitor,1. a device that displays signals on a computer screen
359,automated,1. operated by automation
360,crete,1. the largest Greek island in the Mediterranean; site of the Minoan civilization that reached its peak in 1600 BC
361,cd player,1. a stand-alone piece of electronic equipment that either has its own display or attaches to a television set
362,landfill,1. a low area that has been filled in
363,function,"1. the actions and activities assigned to or required or expected of a person or group    2. what something is used for    3. a set sequence of steps, part of larger computer program"
364,computer software,1. (computer science) written programs or procedures or rules and associated documentation pertaining to the operation of a computer system and that are stored in read/write memory
365,photocopier,1. a copier that uses photographic methods of making copies
366,machine code,1. a set of instructions coded so that the computer can use it directly without further translation
367,hardware,"1. (computer science) the mechanical, magnetic, electronic, and electrical components making up a computer system    2. major items of military weaponry (as tanks or missile)    3. instrumentalities (tools or implements) made of metal"
368,world wide web,1. computer network consisting of a collection of internet sites that offer text and graphics and sound and animation resources through the hypertext transfer protocol
369,outage,1. a temporary suspension of operation (as of computers)    2. the amount of something (as whiskey or oil) lost in storage or transportation
370,database,1. an organized body of related information
371,mathematician,1. a person skilled in mathematics
372,business,1. incidental activity performed by an actor for dramatic effect    2. the principal activity in your life that you do to earn money    3. the activity of providing goods and services involving financial and commercial and industrial aspects
373,dot matrix printer,1. a printer that represents each character as a pattern of dots from a dot matrix
374,console,"1. housing for electronic instruments, as radio or television    2. an ornamental scroll-shaped bracket (especially one used to support a wall fixture)    3. a scientific instrument consisting of displays and an input device that an operator can use to monitor and control a system (especially a computer system)"
375,input device,1. a device that can be used to insert data into a computer or other computational device
376,router,1. a power tool with a shaped cutter; used in carpentry for cutting grooves    2. (computer science) a device that forwards data packets between computer networks    3. a worker who routes shipments for distribution and delivery
377,interface,1. (chemistry) a surface forming a common boundary between two things (two objects or liquids or chemical phases)    2. (computer science) computer circuit consisting of the hardware and associated circuitry that links one device with another (especially a computer and a hard disk drive or other peripherals)    3. the overlap where two theories or phenomena affect each other or have links with each other
378,wired,1. tied or bound with wire    2. tense with excitement and enthusiasm as from a rush of adrenaline    3. equipped with wire or wires especially for electric or telephone service
379,generation,1. the act of producing offspring or multiplying by such production    2. the production of heat or electricity    3. a coming into being
380,lab,1. a workplace for the conduct of scientific research
381,data processor,1. a machine for performing calculations automatically
382,communication,1. something that is communicated by or to or between people or groups    2. the activity of communicating; the activity of conveying information    3. a connection allowing access between persons or places
383,trigonometry,1. the mathematics of triangles and trigonometric functions
384,television,1. a telecommunication system that transmits images of objects (stationary or moving) between distant points    2. an electronic device that receives television signals and displays them on a screen    3. broadcasting visual images of stationary or moving objects
385,available,1. obtainable or accessible and ready for use or service    2. convenient for use or disposal    3. not busy; not otherwise committed
386,silicon chip,1. electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit
387,computing machine,1. a machine for performing calculations automatically
388,beta test,1. (computer science) a second test of an experimental product (such as computer software) carried out by an outside organization
389,sector,1. measuring instrument consisting of two graduated arms hinged at one end    2. a particular aspect of life or activity    3. a social group that forms part of the society or the economy
390,pari-mutuel machine,1. computer that registers bets and divides the total amount bet among those who won
391,data structure,1. (computer science) the organization of data (and its storage allocations in a computer)
392,stored program,1. a program that is stored in the memory of the computer that executes it
393,typewriter,1. hand-operated character printer for printing written messages one character at a time
394,calculator,1. a small machine that is used for mathematical calculations; can be mechanical or electronic    2. an expert at calculation (or at operating calculating machines)
395,transistor,1. a semiconductor device capable of amplification
396,typing,1. writing done with a typewriter
397,mac,1. a waterproof raincoat made of rubberized fabric
398,rendering,1. the act of interpreting something as expressed in an artistic performance    2. giving in acknowledgment of obligation    3. perspective drawing of an architect's design
399,computer mouse,1. a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad
400,job,1. a damaging piece of work    2. the performance of a piece of work    3. the principal activity in your life that you do to earn money
401,enigma,1. something that baffles understanding and cannot be explained    2. a difficult problem
402,mouse,1. any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails    2. a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad    3. person who is quiet or timid
403,plotter,1. an instrument (usually driven by a computer) for drawing graphs or pictures    2. a member of a conspiracy    3. a clerk who marks data on a chart
